date,groundwater_level
2018-01-01,70.94
2018-01-02,70.71
2018-01-03,70.46
2018-01-04,70.19
2018-01-05,69.87
2018-01-06,69.5
2018-01-07,69.09
2018-01-08,68.61
2018-01-09,68.16
2018-01-10,67.75
2018-01-11,67.3
2018-01-12,66.77
2018-01-13,66.28
2018-01-14,65.81
2018-01-15,65.31
2018-01-16,64.82
2018-01-17,64.41
2018-01-18,64.25
2018-01-19,64.28
2018-01-20,64.49
2018-01-21,64.99
2018-01-22,65.57
2018-01-23,66.12
2018-01-24,66.72
2018-01-25,67.32
2018-01-26,68.0
2018-01-27,68.63
2018-01-28,69.21
2018-01-29,69.78
2018-01-30,70.3
2018-01-31,70.79
2018-02-01,71.2
2018-02-02,71.22
2018-02-03,70.89
2018-02-04,70.46
2018-02-05,69.94
2018-02-06,69.49
2018-02-07,69.0
2018-02-08,68.55
2018-02-09,68.41
2018-02-10,68.41
2018-02-11,68.63
2018-02-12,69.0
2018-02-13,69.5
2018-02-14,70.02
2018-02-15,70.46
2018-02-16,70.9
2018-02-17,71.33
2018-02-18,71.73
2018-02-19,72.11
2018-02-20,72.56
2018-02-21,72.99
2018-02-22,73.38
2018-02-23,73.76
2018-02-24,74.14
2018-02-25,74.44
2018-02-26,74.72
2018-02-27,74.92
2018-02-28,75.27
2018-03-01,75.58
2018-03-02,75.78
2018-03-03,75.92
2018-03-04,76.13
2018-03-05,76.31
2018-03-06,76.4
2018-03-07,76.53
2018-03-08,76.66
2018-03-09,76.76
2018-03-10,76.86
2018-03-11,76.97
2018-03-12,77.09
2018-03-13,77.15
2018-03-14,77.23
2018-03-15,77.27
2018-03-16,77.27
2018-03-17,77.25
2018-03-18,77.27
2018-03-19,77.28
2018-03-20,77.31
2018-03-21,77.31
2018-03-22,77.33
2018-03-23,77.42
2018-03-24,77.4
2018-03-25,77.43
2018-03-26,77.42
2018-03-27,77.47
2018-03-28,77.48
2018-03-29,77.47
2018-03-30,77.5
2018-03-31,77.53
2018-04-01,77.52
2018-04-02,77.51
2018-04-03,77.54
2018-04-04,77.58
2018-04-05,77.59
2018-04-06,77.59
2018-04-07,77.59
2018-04-08,77.59
2018-04-09,77.58
2018-04-10,77.59
2018-04-11,77.57
2018-04-12,77.59
2018-04-13,77.63
2018-04-14,77.61
2018-04-15,77.57
2018-04-16,77.61
2018-04-17,77.61
2018-04-18,77.6
2018-04-19,77.63
2018-04-20,77.61
2018-04-21,77.48
2018-04-22,77.31
2018-04-23,77.15
2018-04-24,77.0
2018-04-25,76.88
2018-04-26,76.78
2018-04-27,76.74
2018-04-28,76.73
2018-04-29,76.78
2018-04-30,76.8
2018-05-01,76.85
2018-05-02,76.93
2018-05-03,77.06
2018-05-04,77.1
2018-05-05,77.09
2018-05-06,77.1
2018-05-07,77.2
2018-05-08,77.29
2018-05-09,77.42
2018-05-10,77.56
2018-05-11,77.76
2018-05-12,78.04
2018-05-13,78.34
2018-05-14,78.51
2018-05-15,78.61
2018-05-16,78.78
2018-05-17,78.99
2018-05-18,79.27
2018-05-19,79.63
2018-05-20,80.0
2018-05-21,80.41
2018-05-22,80.83
2018-05-23,81.25
2018-05-24,81.68
2018-05-25,82.1
2018-05-26,82.48
2018-05-27,82.86
2018-05-28,83.21
2018-05-29,83.4
2018-05-30,83.55
2018-05-31,83.74
2018-06-01,83.98
2018-06-02,84.23
2018-06-03,84.49
2018-06-04,84.77
2018-06-05,85.05
2018-06-06,85.33
2018-06-07,85.63
2018-06-08,85.92
2018-06-09,86.18
2018-06-10,86.45
2018-06-11,86.69
2018-06-12,86.88
2018-06-13,87.09
2018-06-14,87.28
2018-06-15,87.47
2018-06-16,87.65
2018-06-17,87.88
2018-06-18,88.13
2018-06-19,88.29
2018-06-20,88.45
2018-06-21,88.62
2018-06-22,88.79
2018-06-23,88.91
2018-06-24,89.12
2018-06-25,89.33
2018-06-26,89.46
2018-06-27,89.6
2018-06-28,89.75
2018-06-29,89.89
2018-06-30,90.06
2018-07-01,90.21
2018-07-02,90.36
2018-07-03,90.49
2018-07-04,90.62
2018-07-05,90.78
2018-07-06,90.88
2018-07-07,90.94
2018-07-08,91.09
2018-07-09,91.25
2018-07-10,91.36
2018-07-11,91.42
2018-07-12,91.54
2018-07-13,91.67
2018-07-14,91.76
2018-07-15,91.86
2018-07-16,91.97
2018-07-17,92.05
2018-07-18,92.08
2018-07-19,91.91
2018-07-20,91.76
2018-07-21,91.69
2018-07-22,91.67
2018-07-23,91.66
