date,groundwater_level,rainfall_mm,temperature_c
2018-01-01,70.94,0.02,15.78
2018-01-02,70.71,0.0,17.83
2018-01-03,70.46,0.01,17.15
2018-01-04,70.19,0.0,17.75
2018-01-05,69.87,0.0,17.33
2018-01-06,69.5,0.01,16.25
2018-01-07,69.09,0.13,17.04
2018-01-08,68.61,1.17,17.2
2018-01-09,68.16,42.66,13.35
2018-01-10,67.75,2.97,12.4
2018-01-11,67.3,0.05,14.68
2018-01-12,66.77,0.0,16.72
2018-01-13,66.28,0.0,17.52
2018-01-14,65.81,0.0,15.92
2018-01-15,65.31,0.0,16.35
2018-01-16,64.82,0.0,16.33
2018-01-17,64.41,0.01,16.65
2018-01-18,64.25,0.0,16.63
2018-01-19,64.28,0.64,12.65
2018-01-20,64.49,0.79,10.16
2018-01-21,64.99,0.0,10.41
2018-01-22,65.57,0.0,10.68
2018-01-23,66.12,0.0,12.83
2018-01-24,66.72,0.0,14.12
2018-01-25,67.32,0.18,11.01
2018-01-26,68.0,0.0,11.38
2018-01-27,68.63,0.0,13.2
2018-01-28,69.21,0.0,16.2
2018-01-29,69.78,0.0,17.49
2018-01-30,70.3,0.0,17.98
2018-01-31,70.79,0.0,18.09
2018-02-01,71.2,0.0,18.04
2018-02-02,71.22,0.0,17.95
2018-02-03,70.89,0.0,19.11
2018-02-04,70.46,0.01,19.17
2018-02-05,69.94,0.04,17.06
2018-02-06,69.49,0.15,15.38
2018-02-07,69.0,0.0,16.6
2018-02-08,68.55,0.08,18.09
2018-02-09,68.41,0.01,15.8
2018-02-10,68.41,0.06,12.5
2018-02-11,68.63,0.12,13.58
2018-02-12,69.0,0.81,11.59
2018-02-13,69.5,0.16,12.4
2018-02-14,70.02,1.71,13.1
2018-02-15,70.46,0.22,14.42
2018-02-16,70.9,0.0,14.69
2018-02-17,71.33,0.0,14.54
2018-02-18,71.73,0.32,13.53
2018-02-19,72.11,0.64,9.55
2018-02-20,72.56,0.0,8.13
2018-02-21,72.99,0.06,7.98
2018-02-22,73.38,0.78,9.03
2018-02-23,73.76,1.36,8.29
2018-02-24,74.14,0.0,8.29
2018-02-25,74.44,0.0,10.74
2018-02-26,74.72,1.06,10.25
2018-02-27,74.92,9.99,8.34
2018-02-28,75.27,0.1,9.07
2018-03-01,75.58,0.0,9.86
2018-03-02,75.78,0.38,11.4
2018-03-03,75.92,3.81,11.82
2018-03-04,76.13,0.38,10.43
2018-03-05,76.31,0.0,12.37
2018-03-06,76.4,0.0,15.49
2018-03-07,76.53,0.0,15.73
2018-03-08,76.66,0.0,15.38
2018-03-09,76.76,0.19,14.96
2018-03-10,76.86,10.71,13.34
2018-03-11,76.97,2.61,14.74
2018-03-12,77.09,0.16,16.17
2018-03-13,77.15,0.53,15.42
2018-03-14,77.23,3.16,13.52
2018-03-15,77.27,3.91,11.38
2018-03-16,77.27,0.23,10.51
2018-03-17,77.25,6.68,10.87
2018-03-18,77.27,0.18,11.35
2018-03-19,77.28,0.0,14.4
2018-03-20,77.31,0.0,15.51
2018-03-21,77.31,0.0,17.59
2018-03-22,77.33,0.81,15.92
2018-03-23,77.42,1.69,14.12
2018-03-24,77.4,0.1,11.41
2018-03-25,77.43,0.08,10.69
2018-03-26,77.42,0.11,11.46
2018-03-27,77.47,0.0,13.67
2018-03-28,77.48,0.0,16.45
2018-03-29,77.47,0.0,17.51
2018-03-30,77.5,0.0,19.37
2018-03-31,77.53,0.0,17.14
2018-04-01,77.52,0.01,14.18
2018-04-02,77.51,0.04,12.47
2018-04-03,77.54,0.05,15.9
2018-04-04,77.58,0.01,14.81
2018-04-05,77.59,0.0,14.3
2018-04-06,77.59,0.01,14.51
2018-04-07,77.59,0.02,16.5
2018-04-08,77.59,0.0,16.73
2018-04-09,77.58,0.0,21.98
2018-04-10,77.59,0.0,22.02
2018-04-11,77.57,0.03,15.91
2018-04-12,77.59,0.1,12.49
2018-04-13,77.63,0.0,15.93
2018-04-14,77.61,0.01,19.03
2018-04-15,77.57,0.0,18.09
2018-04-16,77.61,0.0,12.66
2018-04-17,77.61,0.0,13.17
2018-04-18,77.6,0.0,13.79
2018-04-19,77.63,0.81,10.96
2018-04-20,77.61,0.0,15.02
2018-04-21,77.48,0.0,19.69
2018-04-22,77.31,0.03,20.11
2018-04-23,77.15,0.03,19.88
2018-04-24,77.0,0.0,17.65
2018-04-25,76.88,0.04,16.85
2018-04-26,76.78,0.02,13.09
2018-04-27,76.74,0.04,13.35
2018-04-28,76.73,0.01,13.55
2018-04-29,76.78,0.1,12.9
2018-04-30,76.8,0.41,11.86
2018-05-01,76.85,0.73,11.15
2018-05-02,76.93,0.78,12.08
2018-05-03,77.06,0.03,16.97
2018-05-04,77.1,0.0,21.97
2018-05-05,77.09,0.0,22.77
2018-05-06,77.1,0.0,20.24
2018-05-07,77.2,0.01,17.97
2018-05-08,77.29,0.03,18.25
2018-05-09,77.42,0.1,19.46
2018-05-10,77.56,0.06,16.93
2018-05-11,77.76,0.13,13.49
2018-05-12,78.04,0.11,13.36
2018-05-13,78.34,0.02,14.4
2018-05-14,78.51,0.01,15.49
2018-05-15,78.61,0.0,15.08
2018-05-16,78.78,0.0,14.6
2018-05-17,78.99,0.0,13.57
2018-05-18,79.27,0.0,13.84
2018-05-19,79.63,0.0,15.39
2018-05-20,80.0,0.03,15.04
2018-05-21,80.41,0.04,13.67
2018-05-22,80.83,0.02,14.56
2018-05-23,81.25,0.02,15.26
2018-05-24,81.68,0.05,14.68
2018-05-25,82.1,0.01,14.96
2018-05-26,82.48,0.02,14.72
2018-05-27,82.86,0.03,15.75
2018-05-28,83.21,0.03,18.43
2018-05-29,83.4,0.03,17.97
2018-05-30,83.55,0.02,15.0
2018-05-31,83.74,0.01,15.76
2018-06-01,83.98,0.0,17.05
2018-06-02,84.23,0.0,19.73
2018-06-03,84.49,0.0,21.35
2018-06-04,84.77,0.0,19.96
2018-06-05,85.05,0.0,16.54
2018-06-06,85.33,0.0,16.13
2018-06-07,85.63,0.0,16.3
2018-06-08,85.92,0.0,20.37
2018-06-09,86.18,0.0,20.49
2018-06-10,86.45,0.01,18.77
2018-06-11,86.69,0.01,21.06
2018-06-12,86.88,0.01,21.81
2018-06-13,87.09,0.0,22.7
2018-06-14,87.28,0.0,22.1
2018-06-15,87.47,0.01,20.04
2018-06-16,87.65,0.02,15.08
2018-06-17,87.88,0.03,15.21
2018-06-18,88.13,0.01,16.58
2018-06-19,88.29,0.02,18.9
2018-06-20,88.45,0.01,20.6
2018-06-21,88.62,0.01,19.62
2018-06-22,88.79,0.01,20.04
2018-06-23,88.91,0.01,16.96
2018-06-24,89.12,0.0,17.53
2018-06-25,89.33,0.0,18.63
2018-06-26,89.46,0.0,19.72
2018-06-27,89.6,0.0,20.56
2018-06-28,89.75,0.0,18.06
2018-06-29,89.89,0.0,16.39
2018-06-30,90.06,0.0,18.58
2018-07-01,90.21,0.0,19.43
2018-07-02,90.36,0.0,19.38
2018-07-03,90.49,0.0,19.21
2018-07-04,90.62,0.0,20.25
2018-07-05,90.78,0.01,25.11
2018-07-06,90.88,0.03,31.52
2018-07-07,90.94,0.07,29.86
2018-07-08,91.09,0.97,28.21
2018-07-09,91.25,0.16,26.24
2018-07-10,91.36,0.14,25.89
2018-07-11,91.42,0.63,25.4
2018-07-12,91.54,0.67,24.6
2018-07-13,91.67,0.0,24.72
2018-07-14,91.76,0.0,24.98
2018-07-15,91.86,0.01,24.01
2018-07-16,91.97,0.01,21.84
2018-07-17,92.05,0.3,23.08
2018-07-18,92.08,0.52,21.53
2018-07-19,91.91,0.02,23.67
2018-07-20,91.76,0.06,23.25
2018-07-21,91.69,0.08,22.73
2018-07-22,91.67,0.0,25.07
2018-07-23,91.66,0.0,26.85
2018-07-24,91.73,0.01,27.6
2018-07-25,91.82,0.04,27.17
2018-07-26,91.9,0.03,26.04
2018-07-27,91.97,0.02,25.71
2018-07-28,92.07,0.07,25.57
2018-07-29,92.2,0.0,25.7
2018-07-30,92.33,0.0,27.39
2018-07-31,92.43,0.45,27.05
2018-08-01,92.5,0.31,26.67
2018-08-02,92.54,0.04,25.85
2018-08-03,92.57,0.0,26.34
2018-08-04,92.59,0.0,25.51
2018-08-05,92.64,0.0,25.66
2018-08-06,92.66,0.0,27.34
2018-08-07,92.7,0.0,27.49
2018-08-08,92.8,0.0,27.94
2018-08-09,92.9,1.75,28.75
2018-08-10,93.01,0.03,26.8
2018-08-11,93.1,0.04,25.87
2018-08-12,93.18,0.04,24.08
2018-08-13,93.29,0.01,23.93
2018-08-14,93.33,0.01,22.91
2018-08-15,93.39,1.82,22.95
2018-08-16,93.5,0.9,24.05
2018-08-17,93.62,0.12,24.46
2018-08-18,93.7,0.11,24.42
2018-08-19,93.77,0.0,24.06
2018-08-20,93.82,0.04,22.8
2018-08-21,93.9,0.0,22.57
2018-08-22,93.98,0.0,22.6
2018-08-23,94.04,0.0,22.33
2018-08-24,94.08,0.01,20.66
2018-08-25,94.15,0.01,20.77
2018-08-26,94.25,0.01,20.44
2018-08-27,94.28,0.0,20.26
2018-08-28,94.35,0.0,21.54
2018-08-29,94.4,0.0,23.89
2018-08-30,94.46,0.0,23.75
2018-08-31,94.43,0.0,21.92
2018-09-01,94.41,0.0,18.95
2018-09-02,94.41,0.01,20.81
2018-09-03,94.33,0.02,21.08
2018-09-04,94.2,0.02,21.06
2018-09-05,94.16,0.0,21.19
2018-09-06,94.07,0.01,21.19
2018-09-07,93.94,0.01,22.88
2018-09-08,93.83,0.0,27.1
2018-09-09,93.8,0.0,26.38
2018-09-10,93.72,0.0,21.87
2018-09-11,93.67,0.0,19.99
2018-09-12,93.65,0.0,19.56
2018-09-13,93.66,0.0,22.3
2018-09-14,93.65,0.0,24.47
2018-09-15,93.71,0.0,22.76
2018-09-16,93.8,0.0,22.65
2018-09-17,93.88,0.0,22.79
2018-09-18,93.95,0.0,21.25
2018-09-19,93.83,0.0,19.45
2018-09-20,93.74,0.0,20.13
2018-09-21,93.71,0.0,21.48
2018-09-22,93.7,0.0,22.97
2018-09-23,93.74,0.0,20.09
2018-09-24,93.8,0.01,18.5
2018-09-25,93.88,0.01,19.41
2018-09-26,93.97,0.0,21.29
2018-09-27,94.06,0.01,23.0
2018-09-28,94.14,0.09,21.58
2018-09-29,94.23,0.03,20.63
2018-09-30,94.31,0.83,21.2
2018-10-01,94.34,0.79,25.08
2018-10-02,94.43,0.34,21.78
2018-10-03,94.56,0.56,19.24
2018-10-04,94.64,0.46,18.65
2018-10-05,94.69,0.28,19.1
2018-10-06,94.72,0.41,17.4
2018-10-07,94.79,0.37,18.23
2018-10-08,94.87,0.27,18.08
2018-10-09,94.95,0.17,16.99
2018-10-10,94.97,0.29,16.82
2018-10-11,94.96,0.37,17.01
2018-10-12,94.89,2.53,18.18
2018-10-13,94.84,1.75,16.87
2018-10-14,94.72,0.09,18.01
2018-10-15,94.51,0.0,17.59
2018-10-16,94.26,0.0,17.57
2018-10-17,93.97,0.0,18.06
2018-10-18,93.68,0.0,19.63
2018-10-19,93.35,0.0,20.79
2018-10-20,93.04,0.01,21.84
2018-10-21,92.74,0.01,19.47
2018-10-22,92.41,0.11,18.09
2018-10-23,92.12,0.0,18.97
2018-10-24,91.85,0.01,19.67
2018-10-25,91.59,0.0,20.35
2018-10-26,91.33,0.0,23.49
2018-10-27,91.1,0.01,23.32
2018-10-28,90.86,0.0,22.36
2018-10-29,90.58,0.06,18.2
2018-10-30,90.37,0.13,16.42
2018-10-31,90.18,0.0,18.3
2018-11-01,89.97,0.0,20.04
2018-11-02,89.75,0.0,22.12
2018-11-03,89.56,0.0,22.66
2018-11-04,89.42,0.0,21.04
2018-11-05,89.28,0.01,17.6
2018-11-06,89.28,0.01,16.55
2018-11-07,89.29,0.0,16.7
2018-11-08,89.34,0.0,17.72
2018-11-09,89.45,0.0,17.27
2018-11-10,89.55,0.0,17.04
2018-11-11,89.72,0.0,16.43
2018-11-12,89.97,0.0,14.95
2018-11-13,90.18,0.0,14.94
2018-11-14,90.36,0.0,15.66
2018-11-15,90.51,0.0,16.91
2018-11-16,90.65,0.0,17.36
2018-11-17,90.83,0.0,15.8
2018-11-18,91.04,0.0,16.7
2018-11-19,91.22,0.0,15.4
2018-11-20,91.39,0.0,15.64
2018-11-21,91.64,0.17,15.67
2018-11-22,91.82,1.37,14.83
2018-11-23,92.03,0.18,14.62
2018-11-24,92.11,0.19,15.29
2018-11-25,92.29,0.08,16.38
2018-11-26,92.48,0.02,15.95
