date,groundwater_level,rainfall,temperature,pumping_rate
2022-01-01,14.866,167.4,22.446,2.55
2022-01-02,14.777,168.158,22.486,2.55
2022-01-03,14.91,168.902,22.527,2.55
2022-01-04,14.826,169.631,22.57,2.549
2022-01-05,14.895,170.346,22.615,2.549
2022-01-06,14.807,171.046,22.662,2.548
2022-01-07,14.928,171.731,22.709,2.547
2022-01-08,14.771,172.4,22.759,2.547
2022-01-09,15.023,173.054,22.81,2.546
2022-01-10,14.926,173.692,22.862,2.545
2022-01-11,14.927,174.314,22.917,2.544
2022-01-12,14.915,174.92,22.972,2.543
2022-01-13,14.676,175.51,23.029,2.541
2022-01-14,14.781,176.084,23.088,2.54
2022-01-15,15.075,176.641,23.148,2.538
2022-01-16,15.169,177.181,23.209,2.537
2022-01-17,15.095,177.704,23.272,2.535
2022-01-18,15.161,178.21,23.336,2.533
2022-01-19,15.124,178.699,23.402,2.531
2022-01-20,14.768,179.171,23.469,2.529
2022-01-21,15.099,179.625,23.537,2.527
2022-01-22,15.191,180.061,23.607,2.525
2022-01-23,15.193,180.48,23.678,2.523
2022-01-24,15.17,180.88,23.75,2.521
2022-01-25,15.391,181.263,23.823,2.518
2022-01-26,15.05,181.628,23.898,2.516
2022-01-27,14.895,181.974,23.974,2.513
2022-01-28,14.938,182.302,24.051,2.51
2022-01-29,15.339,182.612,24.13,2.507
2022-01-30,15.381,182.903,24.209,2.504
2022-01-31,15.496,183.175,24.29,2.501
2022-02-01,15.4,183.429,24.371,2.498
2022-02-02,15.213,183.664,24.454,2.495
2022-02-03,15.301,183.88,24.538,2.492
2022-02-04,15.128,184.077,24.622,2.488
2022-02-05,15.32,184.255,24.708,2.485
2022-02-06,15.549,184.415,24.795,2.481
2022-02-07,15.514,184.555,24.883,2.478
2022-02-08,15.532,184.676,24.971,2.474
2022-02-09,15.311,184.778,25.061,2.47
2022-02-10,15.287,184.861,25.151,2.466
2022-02-11,15.09,184.924,25.243,2.463
2022-02-12,15.284,184.969,25.335,2.459
2022-02-13,15.434,184.994,25.428,2.454
2022-02-14,15.398,185.0,25.521,2.45
2022-02-15,15.382,184.986,25.616,2.446
